Time,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13
205,242.0,212.0,107.0,166.0,87.0,37.0,11.0,8.0,0.0,0.0,0.0,0.0
206,242.0,212.0,107.0,166.0,87.0,37.0,11.0,8.0,0.0,0.0,0.0,0.0
207,242.0,212.0,107.0,166.0,87.0,37.0,11.0,8.0,0.0,0.0,0.0,0.0
208,242.0,212.0,107.0,166.0,87.0,37.0,11.0,8.0,0.0,0.0,0.0,0.0
209,239.0,212.0,106.0,164.0,84.0,36.0,8.0,7.0,0.0,0.0,0.0,0.0
210,239.0,212.0,106.0,164.0,84.0,36.0,8.0,7.0,0.0,0.0,0.0,0.0
211,239.0,212.0,106.0,164.0,84.0,36.0,8.0,7.0,0.0,0.0,0.0,0.0
212,239.0,212.0,106.0,164.0,84.0,36.0,8.0,7.0,0.0,0.0,0.0,0.0
213,236.0,210.0,104.0,163.0,82.0,31.0,4.0,4.0,0.0,0.0,0.0,0.0
214,236.0,210.0,104.0,163.0,82.0,31.0,4.0,4.0,0.0,0.0,0.0,0.0
215,236.0,210.0,104.0,163.0,82.0,31.0,4.0,4.0,0.0,0.0,0.0,0.0
216,236.0,208.0,102.0,160.0,82.0,32.0,3.0,5.0,0.0,0.0,0.0,0.0
217,236.0,208.0,102.0,160.0,82.0,32.0,3.0,5.0,0.0,0.0,0.0,0.0
218,236.0,208.0,102.0,160.0,82.0,32.0,3.0,5.0,0.0,0.0,0.0,0.0
219,236.0,208.0,102.0,160.0,82.0,32.0,3.0,5.0,0.0,0.0,0.0,0.0
220,235.0,207.0,100.0,159.0,82.0,30.0,2.0,4.0,0.0,0.0,0.0,0.0
221,235.0,207.0,100.0,159.0,82.0,30.0,2.0,4.0,0.0,0.0,0.0,0.0
222,235.0,207.0,100.0,159.0,82.0,30.0,2.0,4.0,0.0,0.0,0.0,0.0
223,235.0,207.0,100.0,159.0,82.0,30.0,2.0,4.0,0.0,0.0,0.0,0.0
224,232.0,205.0,100.0,158.0,80.0,26.0,0.0,1.0,-1.0,0.0,0.0,0.0
225,232.0,205.0,100.0,158.0,80.0,26.0,0.0,1.0,-1.0,0.0,0.0,0.0
226,232.0,205.0,100.0,158.0,80.0,26.0,0.0,1.0,-1.0,0.0,0.0,0.0
227,232.0,205.0,100.0,158.0,80.0,26.0,0.0,1.0,-1.0,0.0,0.0,0.0
228,229.0,201.0,95.0,154.0,76.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
229,229.0,201.0,95.0,154.0,76.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
230,229.0,201.0,95.0,154.0,76.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
231,227.0,199.0,93.0,151.0,75.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
232,227.0,199.0,93.0,151.0,75.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
233,227.0,199.0,93.0,151.0,75.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
234,227.0,199.0,93.0,151.0,75.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
235,223.0,196.0,92.0,149.0,71.0,18.0,0.0,0.0,0.0,0.0,-1.0,0.0
236,223.0,196.0,92.0,149.0,71.0,18.0,0.0,0.0,0.0,0.0,-1.0,0.0
237,223.0,196.0,92.0,149.0,71.0,18.0,0.0,0.0,0.0,0.0,-1.0,0.0
238,221.0,195.0,89.0,146.0,71.0,17.0,0.0,0.0,0.0,0.0,-1.0,0.0
239,221.0,195.0,89.0,146.0,71.0,17.0,0.0,0.0,0.0,0.0,-1.0,0.0
240,221.0,195.0,89.0,146.0,71.0,17.0,0.0,0.0,0.0,0.0,-1.0,0.0
241,221.0,195.0,89.0,146.0,71.0,17.0,0.0,0.0,0.0,0.0,-1.0,0.0
242,219.0,190.0,85.0,143.0,70.0,16.0,0.0,0.0,0.0,0.0,-1.0,0.0
243,219.0,190.0,85.0,143.0,70.0,16.0,0.0,0.0,0.0,0.0,-1.0,0.0
