,Comments,T,P
15 43 23 ,,169.7,712.8
15 43 24 ,,169.7,712.8
15 43 25 ,,169.7,712.8
15 43 26 ,,169.7,712.8
15 43 27 ,,169.7,712.8
15 43 28 ,,169.7,712.8
15 43 29 ,,169.7,712.8
15 43 30 ,,169.7,712.8
15 43 31 ,,169.7,712.8
15 43 32 ,,169.7,712.8
15 43 33 ,,169.7,712.8
15 43 34 ,,169.7,712.8
15 43 35 ,,169.7,713
15 43 36 ,,169.7,713
15 43 37 ,,169.7,713
15 43 38 ,,169.7,713
15 43 39 ,,169.7,713
15 43 40 ,,169.7,713
15 43 41 ,,169.7,713
15 43 42 ,,169.7,713
15 43 43 ,,169.7,713.1
15 43 44 ,,169.7,713.1
15 43 45 ,,169.7,713.1
15 43 46 ,,169.7,713.2
15 43 47 ,,169.7,713.2
15 43 48 ,,169.7,713.2
15 43 49 ,,169.7,713.2
15 43 50 ,,169.7,713.2
15 43 51 ,,169.7,713.3
15 43 52 ,,169.7,713.3
15 43 53 ,,169.7,713.3
15 43 54 ,,169.7,713.3
15 43 55 ,,169.7,713.3
15 43 56 ,,169.7,713.3
15 43 57 ,,169.7,713.3
15 43 58 ,,169.7,713.3
15 43 59 ,,169.7,713.3
15 44 00 ,,169.7,713.4
15 44 01 ,,169.7,713.4
15 44 02 ,,169.7,713.4
15 44 03 ,,169.7,713.4
15 44 04 ,,169.7,713.4
15 44 05 ,,169.7,713.4
15 44 06 ,,169.7,713.4
15 44 07 ,,169.7,713.4
15 44 08 ,,169.7,713.4
15 44 09 ,,169.7,713.4
15 44 10 ,,169.7,713.4
15 44 11 ,,169.7,713.4
15 44 12 ,,169.8,713.4
15 44 13 ,,169.8,713.4
15 44 14 ,,169.8,713.4
15 44 15 ,,169.8,713.4
15 44 16 ,,169.8,713.4
15 44 17 ,,169.8,713.4
15 44 18 ,,169.8,713.4
15 44 19 ,,169.8,713.4
15 44 20 ,,169.8,713.4
15 44 21 ,,169.8,713.4
15 44 22 ,,169.8,713.4
15 44 23 ,,169.8,713.4
15 44 24 ,,169.8,713.4
15 44 25 ,,169.8,713.4
15 44 26 ,,169.8,713.4
15 44 27 ,,169.8,713.4
15 44 28 ,,169.8,713.4
15 44 29 ,,169.8,713.4
15 44 30 ,,169.8,713.4
15 44 31 ,,169.8,713.4
15 44 32 ,,169.8,713.4
15 44 33 ,,169.8,713.4
15 44 34 ,,169.9,713.4
15 44 35 ,,169.9,713.4
15 44 36 ,,169.9,713.3
15 44 37 ,,169.9,713.2
15 44 38 ,,169.9,713.1
15 44 39 ,,169.9,713.1
15 44 40 ,,169.9,712.8
15 44 41 ,,169.9,712.8
15 44 42 ,,169.9,712.8
15 44 43 ,,169.9,712.8
